'location' 'source' 'target'
'Talent,,A' 'Pilot' 'Пилот'
'Overcharge,,Spend' 'Heat' 'Нагрев'
'' 'Active' 'Активный'
'' 'Agility' 'Ловкость'
'' 'Core Bonus' 'Ключевое улучшение'
'' 'Engineering' 'Инженерное дело'
'' 'Frame' 'Шасси'
'' 'Grit' 'Закалка'
'' 'Hull' 'Корпус'
'' 'License' 'Лицензия'
'' 'Mech' 'Мех'
'' 'Mod' 'Модификация'
'' 'Mount1' 'Оседлать'
'' 'Mount' 'Крепление'
'' 'None' 'Отсутствует'
'' 'Overcharge' 'Форсаж'
'' 'Pending' 'Ожидается'
'' 'Reserve' 'Резерв'
'' 'Save' 'Спас-порог'
'' 'Save1' 'Сохранить'
'' 'Armor' 'Броня'
'' 'Custom' 'Пользовательский'
'' 'Sensors' 'Сенсоры'
'' 'Evasion' 'Уклонение'
'' 'Size' 'Размер'
'' 'Skill Trigger' 'Навык пилота'
'' 'Speed' 'Скорость'
'' 'Stress' 'Износ'
'' 'System' 'Система'
'' 'Talent' 'Талант'
'' 'Structure' 'Структура'
'' 'Systems' 'Системы'
'' 'Weapon' 'Оружие'
