'location' 'source' 'target'
'Talent,,A' 'Pilot' 'Piloto'
'Overcharge,,Spend' 'Heat' 'Calor'
'' 'Core Bonus' 'Bonificación Fundamental'
'' 'Active' 'Activo'
'' 'Agility' 'Agilidad'
'' 'Armor' 'Armadura'
'' 'Custom' 'Personalizado'
'' 'Engineering' 'Ingenieria'
'' 'License' 'Licencia'
'' 'Mount' 'Afuste'
'' 'None' 'Ninguno'
'' 'Overcharge' 'Sobrecargar'
'' 'Evasion' 'Evasión'
'' 'Mech' 'Meca'
'' 'Mod' 'Modificación'
'' 'Talent' 'Talento'
'' 'Hull' 'Armazón'
'' 'Pending' 'Pendiente'
'' 'Reserve' 'Reserva'
'' 'Sensors' 'Sensores'
'' 'Size' 'Tamaño'
'' 'Speed' 'Velocidad'
'' 'Stress' 'Estrés'
'' 'Structure' 'Estructura'
'' 'System' 'Sistema'
'' 'Systems' 'Sistemas'
'' 'Weapon' 'Arma'
'' 'Skill Trigger' 'Detonante'
'' 'Frame' 'Chasis'
'' 'Save' 'Salvación'
'' 'Grit' 'Redaño'
'' 'Mount1' 'Montar'
'' 'Save1' 'Guardar'
